title,release_date,popularity,genre_ids,vote_average
The Last Voyage of the Demeter,2023-08-09,69.243,"[53, 27]",7.033
Dungeons & Dragons: Honor Among Thieves,2023-03-23,91.545,"[12, 14, 35]",7.385
Zootopia,2016-02-11,85.474,"[16, 12, 10751, 35]",7.748
Suncoast,2024-02-02,96.442,"[18, 35]",7.3
Big Hero 6,2014-10-24,85.953,"[12, 10751, 16, 28, 35]",7.735
Soul,2020-12-25,86.14,"[16, 10751, 35, 14]",8.14
Captain America: Civil War,2016-04-27,81.127,"[12, 28, 878]",7.441
The Lion King,1994-06-24,85.597,"[10751, 16, 18]",8.257
Spider-Man: Into the Spider-Verse,2018-12-06,93.032,"[28, 12, 16, 878]",8.405
Pulp Fiction,1994-09-10,77.269,"[53, 80]",8.5
Kraven the Hunter,2024-08-24,75.624,"[28, 12, 878]",0.0
Fantastic Beasts: The Secrets of Dumbledore,2022-04-06,90.707,"[14, 12]",6.686
Mad Max: Fury Road,2015-05-13,89.682,"[28, 12, 878]",7.588
Fury,2014-10-15,89.57,"[10752, 18, 28]",7.525
Saltburn,2023-11-16,89.432,"[18, 35, 53]",7.101
The Emperor's New Groove,2000-12-15,89.364,"[12, 16, 35, 10751, 14]",7.552
Thor: Ragnarok,2017-10-02,89.307,"[28, 12, 878]",7.594
Teenage Mutant Ninja Turtles,2014-08-07,88.978,"[878, 28, 12, 35]",5.908
Ferrari,2023-12-14,88.578,"[18, 36]",6.65
The Next 365 Days,2022-08-19,87.99,"[10749, 18]",6.5
Ice Age,2002-03-10,87.654,"[16, 35, 10751, 12]",7.356
Salawahan,2024-02-02,87.582,"[18, 53]",0.0
Luca,2021-06-17,87.559,"[16, 35, 14, 12, 10751]",7.844
The Tomorrow War,2021-09-03,87.237,"[28, 878, 12]",7.562
Justice League,2017-11-15,86.69,"[28, 12, 878]",6.093
Bad Lands,2023-09-29,86.584,"[28, 80]",7.0
Mean Girls,2004-04-30,86.42,[35],7.201
The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,86.385,"[12, 14, 10749]",6.201
The Conjuring: The Devil Made Me Do It,2021-05-25,86.262,"[27, 9648, 53]",7.461
The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,86.262,"[12, 14, 18, 10749]",6.464
Soul,2020-12-25,86.14,"[16, 10751, 35, 14]",8.139
